y,pred
74.0,72.0
84.0,74.0
107.0,81.0
104.0,99.0
136.0,102.0
128.0,126.0
131.0,127.0
139.0,130.0
139.0,136.0
146.0,137.0
131.0,143.0
119.0,134.0
104.0,123.0
127.0,109.0
126.0,121.0
106.0,123.0
108.0,111.0
113.0,109.0
114.0,111.0
122.0,112.0
110.0,119.0
100.0,112.0
113.0,104.0
123.0,109.0
120.0,118.0
107.0,119.0
116.0,111.0
106.0,114.0
113.0,107.0
130.0,111.0
129.0,124.0
116.0,127.0
124.0,119.0
109.0,122.0
101.0,112.0
102.0,104.0
123.0,102.0
101.0,116.0
112.0,105.0
106.0,111.0
111.0,107.0
109.0,109.0
106.0,109.0
106.0,107.0
102.0,106.0
117.0,103.0
108.0,112.0
93.0,109.0
115.0,98.0
114.0,110.0
139.0,112.0
132.0,131.0
122.0,131.0
103.0,125.0
101.0,109.0
78.0,103.0
94.0,85.0
89.0,91.0
110.0,89.0
91.0,104.0
102.0,95.0
107.0,100.0
126.0,105.0
97.0,119.0
124.0,104.0
122.0,118.0
124.0,120.0
150.0,123.0
152.0,142.0
153.0,148.0
165.0,151.0
133.0,161.0
120.0,140.0
152.0,126.0
134.0,143.0
140.0,134.0
126.0,138.0
113.0,129.0
129.0,118.0
118.0,125.0
112.0,119.0
126.0,114.0
95.0,122.0
98.0,102.0
94.0,100.0
124.0,95.0
155.0,114.0
172.0,142.0
128.0,162.0
121.0,139.0
98.0,127.0
142.0,105.0
106.0,129.0
197.0,112.0
139.0,172.0
95.0,147.0
90.0,113.0
74.0,97.0
83.0,78.0
52.0,81.0
39.0,60.0
55.0,46.0
45.0,52.0
41.0,46.0
34.0,44.0
31.0,37.0
21.0,33.0
20.0,25.0
21.0,22.0
24.0,21.0
9.0,23.0
12.0,14.0
13.0,13.0
5.0,14.0
4.0,8.0
6.0,7.0
9.0,7.0
5.0,9.0
8.0,7.0
5.0,9.0
7.0,7.0
5.0,8.0
6.0,7.0
4.0,7.0
4.0,6.0
3.0,5.0
4.0,4.0
3.0,5.0
5.0,5.0
8.0,6.0
9.0,8.0
8.0,9.0
8.0,9.0
15.0,9.0
10.0,14.0
19.0,12.0
20.0,18.0
17.0,20.0
26.0,19.0
26.0,25.0
39.0,26.0
42.0,36.0
59.0,41.0
80.0,54.0
86.0,73.0
85.0,82.0
106.0,85.0
98.0,100.0
125.0,98.0
103.0,117.0
101.0,107.0
114.0,103.0
139.0,110.0
126.0,129.0
141.0,126.0
118.0,137.0
108.0,123.0
111.0,112.0
128.0,111.0
118.0,122.0
118.0,118.0
107.0,118.0
99.0,110.0
121.0,102.0
107.0,114.0
102.0,108.0
119.0,104.0
122.0,114.0
96.0,119.0
102.0,103.0
77.0,103.0
94.0,84.0
112.0,90.0
120.0,105.0
119.0,115.0
116.0,118.0
115.0,117.0
112.0,115.0
108.0,113.0
104.0,109.0
95.0,105.0
107.0,97.0
104.0,104.0
112.0,103.0
93.0,109.0
106.0,98.0
97.0,103.0
83.0,98.0
96.0,88.0
104.0,93.0
122.0,100.0
108.0,115.0
106.0,110.0
96.0,107.0
128.0,99.0
125.0,118.0
100.0,122.0
116.0,107.0
103.0,114.0
116.0,105.0
115.0,113.0
108.0,113.0
117.0,110.0
110.0,115.0
111.0,111.0
121.0,111.0
113.0,118.0
132.0,114.0
152.0,126.0
163.0,143.0
173.0,156.0
172.0,168.0
184.0,170.0
208.0,179.0
271.0,198.0
219.0,247.0
203.0,226.0
177.0,211.0
164.0,186.0
155.0,168.0
146.0,157.0
128.0,148.0
116.0,133.0
112.0,120.0
111.0,114.0
